0,1,2,3,4,5,6,7,8
-4.416042,6.064987,-0.79474527,-0.022647113,4.1932783,3.655422,0.28774503,-1.509803,1.5655684
0.25459802,5.0453873,-1.7881134,2.5906591,2.209826,4.40187,1.9127295,-5.6475224,-0.22134155
-2.4482841,3.263278,-1.5845952,-0.8094522,4.6608143,6.3228045,0.47964472,-0.39809826,1.7228398
-4.386578,3.3268843,-0.40415078,-1.443095,5.671595,4.973753,-0.25224525,-2.8796825,2.2149663
-4.0313573,4.9514723,-0.930208,-1.4592624,5.1745863,6.3050575,0.19772118,0.2812859,2.4419372
-2.7775445,3.075575,-0.96103173,-1.9969417,4.6571074,6.0945206,-0.109426655,-2.1956778,2.9686074
-3.6584916,1.1898589,2.3102863,-3.1435373,4.656437,6.5195055,-0.19463947,-1.4950179,-0.087655
0.44983268,3.5854237,-1.1269618,2.2462792,5.0883636,4.5953927,0.8834173,-2.5240555,0.35593814
1.7339078,1.4574631,-1.1666137,3.3775778,5.4516497,3.6007128,0.30077288,-5.307264,-1.7857555
-2.587614,2.9524698,-1.2211213,-1.5079063,5.311104,5.884117,-0.023850925,-0.24291334,3.2009633
-3.1733305,4.8371196,-0.50374156,-0.5092331,4.966386,4.7947702,-0.5820794,-1.7900461,0.7611372
-4.0579705,3.9269893,-1.7550857,-0.8272598,3.9776115,4.484587,1.2322806,-1.2304894,3.805367
-3.2713728,5.8773446,-1.2526206,-1.0013198,3.828232,5.5404816,0.3675643,0.033278257,2.5514915
-1.5700096,2.089114,-0.3302614,-0.7557303,3.6953113,4.0644183,0.61884093,-0.6791438,2.2664511
-4.580774,2.7003086,-0.5340584,-2.5041027,6.240425,7.050642,0.0053041503,-1.5751301,2.840322
-3.5144525,3.934726,-0.21455802,-0.60086966,6.1056213,5.099033,-0.8375411,-1.7090056,0.36958855
-2.159717,2.417678,-1.0917722,-0.3139411,5.643297,5.3510237,-0.28074288,-1.1963243,0.8539977
-2.6128159,3.692585,-0.9064335,0.15702882,5.7609982,5.0598903,-0.3811223,-0.35872588,0.19597077
-4.7840786,5.102356,-0.33187968,-1.3347266,5.5593157,6.045175,-0.16486612,-1.2432069,1.2144775
-4.487496,4.2809005,-0.7824641,-0.08396605,5.2389436,3.0612586,0.1220747,-1.945202,2.2700992
-2.9045856,1.3795816,-0.49252164,-0.6593082,3.5923882,4.7011147,1.543031,-2.0059936,1.3732238
-0.5524863,5.1778245,-1.1215466,2.9664392,3.3640873,2.5821683,1.296442,-5.763508,0.14969867
-2.700138,3.8890216,-1.151301,-0.9288293,5.2343597,5.1795716,-0.12977391,0.21708217,2.777265
1.3439285,3.9213936,-1.2287791,2.8845406,3.772286,2.4709346,0.50724816,-5.04108,0.52255744
-0.051971547,4.5390472,-0.09997459,1.3437968,3.852414,4.3178034,0.33187732,-6.779495,-0.039314084
-1.9664307,3.791064,-1.8146392,0.26177326,3.6302636,4.236274,0.551487,-1.4254862,1.6429018
-3.950935,2.5471609,1.4392273,-1.4187701,2.4054675,5.3903832,1.454228,-0.10791221,-1.182584
-3.4145243,3.979683,-0.8738015,-0.5188724,5.5910864,5.0958,-0.13540715,-0.52007216,1.492471
0.46087992,4.4323,-0.6001356,3.5110958,4.3638706,1.6786653,0.14067724,-6.2339473,-0.9881714
-4.1687064,3.4041784,-1.0274607,-1.6302634,4.9654975,5.446899,0.41760102,-1.9621259,3.2147512
-3.8762712,3.9764569,-1.1161879,-0.79397607,4.516194,3.8705437,0.34966576,-2.0969791,3.1962261
0.6655686,2.386015,-2.1566048,2.8377538,3.346923,4.5783434,2.0865202,-5.628495,-0.3484528
-4.683769,4.238389,-0.33768207,-0.20945683,6.0599046,4.0855646,-0.30401713,-1.9110098,0.87314934
1.9147615,1.4118227,-1.8398972,3.1058962,4.607998,4.380371,1.0395404,-4.7040324,-1.0292203
-2.020401,2.569095,2.9505723,1.6661581,3.03311,2.1929815,1.4611621,-4.8016734,-3.038994
-3.0372806,2.631241,-0.5917749,-1.626629,5.944316,6.4898434,-0.49587044,-1.6973838,1.5245795
-2.3280425,3.3414843,-0.7529504,-0.9480442,5.031022,3.9298732,-0.72303516,-2.0718398,2.8249917
-2.8872504,3.6691546,-0.84034866,-1.233704,5.4941154,5.3181562,-0.40210482,-0.5077912,2.6158156
-2.1494455,3.1384184,-1.2918348,0.082004875,5.7290664,4.812803,-0.18126598,0.45704815,1.4017318
-1.2889388,4.9093432,-0.37897712,2.2170985,5.086606,3.1490896,0.7712101,-4.088607,0.74447364
-3.5450277,4.526885,-0.94532716,-0.010803014,5.0326633,4.4057264,0.030347742,-1.123414,1.0644691
-3.1732788,2.3835073,-0.54669803,-2.0337923,6.236903,6.893342,-0.5176567,-1.3930552,1.9952725
0.07330454,3.6386569,-0.42483252,2.8788242,5.151499,3.939488,0.31794816,-5.84814,-2.108315
-3.576225,4.1090484,-0.7768689,-2.3750892,4.2602124,6.50924,0.08906331,-2.363072,3.0435374
